bhk,locality,Price,sqft,status,Possession,price_per_sqft,Age_old,bath
2,Balewadi,92 L,716,Under Construction,Possession by Nov 2028,"12,849 / sq ft",,
2,Balewadi,89.9 L,669,Under Construction,Possession by Nov 2028,"13,437 / sq ft",,
2,Balewadi,91 L,713,Under Construction,Possession by Nov 2028,"12,762 / sq ft",,
2,Balewadi,87 L,627,Under Construction,Possession by Nov 2028,"13,875 / sq ft",,
2,Hinjewadi,69 L,758,Under Construction,Possession by May 2022,"9,102 / sq ft",,
3,Hinjewadi,1.05 Cr,1125,Under Construction,Possession by Nov 2023,"9,422 / sq ft",,
2,Hinjewadi,62 L,694,Under Construction,Possession by May 2022,"8,933 / sq ft",,
2,Hinjewadi,64.98 L,641,Under Construction,Possession by Aug 2024,"10,138 / sq ft",,
2,Bavdhan,74.44 L,737,Under Construction,Possession by Nov 2020,"10,101 / sq ft",,
2,Bavdhan,73.89 L,731,Under Construction,Possession by Nov 2020,"10,108 / sq ft",,
2,Bavdhan,74.79 L,741,Under Construction,Possession by Nov 2020,"10,093 / sq ft",,
2,Pimple Nilakh,60 L,850,Under Construction,,"7,058 / sq ft",,2
3,Bavdhan,1 Cr,1018,Under Construction,Possession by Nov 2020,"9,875 / sq ft",,
2,Vijay Nagar,50 L,900,Ready to move,,"5,555 / sq ft",3,2
2,Bavdhan,68 L,1153,Under Construction,Possession by Dec 2023,"5,897 / sq ft",,2
2,Bhosari,64 L,942,Under Construction,,"6,794 / sq ft",,2
2,Mundhwa,65 L,1098,Under Construction,Possession by Sep 2021,"5,919 / sq ft",,2
2,Baner,1.15 Cr,1150,Ready to move,,"10,000 / sq ft",0,2
2,Alandi,38.19 L,831,Under Construction,,"4,596 / sq ft",,2
3,Kharadi,76 L,1200,Ready to move,,"6,333 / sq ft",13,3
2,Hinjewadi,62.09 L,577,Under Construction,Possession by Dec 2022,"10,761 / sq ft",,
2,Mahalunge,68.01 L,635,Under Construction,Possession by Sep 2023,"10,711 / sq ft",,
2,Tathawade,65.51 L,717,Under Construction,Possession by Jul 2022,"9,136 / sq ft",,
3,Mahalunge,83.6 L,787,Under Construction,Possession by Sep 2023,"10,623 / sq ft",,
2,Tathawade,68.74 L,742,Under Construction,Possession by Jul 2022,"9,264 / sq ft",,
2,Hinjewadi,51.16 L,705,Ready to move,,"7,258 / sq ft",4,
2,Hinjewadi,49.77 L,704,Ready to move,,"7,070 / sq ft",4,
3,Hinjewadi,81.69 L,1113,Ready to move,,"7,340 / sq ft",4,
3,Hinjewadi,80.3 L,1112,Ready to move,,"7,222 / sq ft",4,
3,Hinjewadi,74.11 L,1023,Ready to move,,"7,245 / sq ft",4,
3,Ravet,68.5 L,913,Under Construction,Possession by Mar 2022,"7,503 / sq ft",,
3,Hinjewadi,75.83 L,1024,Ready to move,,"7,406 / sq ft",4,
2,Hinjewadi,54.53 L,760,Ready to move,,"7,175 / sq ft",4,
1,Yerawada,36 L,600,Ready to move,,"6,000 / sq ft",17,1
1,Undri,28.9 L,702,Ready to move,,"4,116 / sq ft",3,1
3,Viman Nagar,1.65 Cr,2150,Ready to move,,"7,674 / sq ft",15,3
3,Viman Nagar,1.4 Cr,1500,Ready to move,,"9,333 / sq ft",12,3
3,Viman Nagar,1.8 Cr,1800,Ready to move,,"10,000 / sq ft",16,3
2,Viman Nagar,1 Cr,1200,Ready to move,,"8,333 / sq ft",7,2
3,Viman Nagar,1.3 Cr,1544,Ready to move,,"8,419 / sq ft",7,3
1,Wadgaon Sheri,35 L,680,Ready to move,,"5,147 / sq ft",4,1
2,Mundhwa,70 L,1151,Under Construction,Possession by Mar 2024,"6,081 / sq ft",,2
4,Kalyani Nagar,7.45 Cr,3195,Ready to move,,"23,317 / sq ft",6,4
2,Tathawade,64 L,1023,Under Construction,Possession by Dec 2025,"6,256 / sq ft",,2
2,Wagholi,45 L,1047,Ready to move,,"4,297 / sq ft",2,2
2,Alandi,38.25 L,831,Under Construction,Possession by Jun 2024,"4,602 / sq ft",,2
3,Tathawade,85 L,1296,Under Construction,Possession by Dec 2025,"6,558 / sq ft",,3
4,Kalyani Nagar,5.5 Cr,4100,Ready to move,,"13,414 / sq ft",6,4
4,Kalyani Nagar,3.25 Cr,3032,Ready to move,,"10,718 / sq ft",11,4
2,Wagholi,37 L,800,Ready to move,,"4,625 / sq ft",4,2
2,Kharadi,75 L,1140,Ready to move,,"6,578 / sq ft",8,2
2,Alandi,34.1 L,831,Under Construction,Possession by Jun 2024,"4,103 / sq ft",,2
4,Kalyani Nagar,4.2 Cr,3200,Ready to move,,"13,125 / sq ft",11,4
2,Alandi,34.25 L,831,Under Construction,Possession by Jun 2024,"4,121 / sq ft",,2
1,Manjari,36.9 L,872,Under Construction,Possession by Jul 2024,"4,231 / sq ft",,2
2,Wakad,60 L,989,Under Construction,Possession by May 2027,"6,066 / sq ft",,2
3,Bavdhan,53.18 L,933,Under Construction,Possession by Oct 2020,"5,700 / sq ft",,
1,Bavdhan,22.45 L,394,Under Construction,Possession by Oct 2020,"5,700 / sq ft",,
2,Bavdhan,56.54 L,992,Under Construction,Possession by Oct 2020,"5,700 / sq ft",,
2,Bavdhan,53.06 L,931,Under Construction,Possession by Oct 2020,"5,700 / sq ft",,
3,Kharadi,90 L,1550,Ready to move,,"5,806 / sq ft",11,3
3,Kharadi,95 L,1450,Ready to move,,"6,551 / sq ft",7,3
3,Kharadi,91 L,1587,Ready to move,,"5,734 / sq ft",9,3
2,Kharadi,68 L,1008,Ready to move,,"6,746 / sq ft",8,2
2,Kharadi,79 L,1149,Ready to move,,"6,875 / sq ft",7,2
2,Kharadi,72 L,1051,Ready to move,,"6,850 / sq ft",7,2
3,Viman Nagar,1.48 Cr,1520,Ready to move,,"9,736 / sq ft",12,3
4,Viman Nagar,1.99 Cr,2600,Ready to move,,"7,653 / sq ft",12,4
2,Kharadi,64 L,1008,Ready to move,,"6,349 / sq ft",7,2
2,Kharadi,66 L,1013,Ready to move,,"6,515 / sq ft",7,2
2,Kharadi,98 L,1360,Ready to move,,"7,205 / sq ft",7,2
2,Kharadi,77 L,1037,Ready to move,,"7,425 / sq ft",8,2
2,Kharadi,74.25 L,1063,Ready to move,,"6,984 / sq ft",7,2
2,Kharadi,88 L,1350,Ready to move,,"6,518 / sq ft",7,2
2,Kharadi,70 L,1250,Ready to move,,"5,600 / sq ft",14,2
2,Tingre Nagar,87 L,1100,Ready to move,,"7,909 / sq ft",6,2
1,Karve Nagar,45 L,597,Ready to move,,"7,537 / sq ft",,1
1,Baner,35 L,567,Ready to move,,"6,172 / sq ft",4,1
3,Bavdhan,89 L,1586,Ready to move,,"5,611 / sq ft",,3
2,Bavdhan,62.5 L,1080,Ready to move,,"5,787 / sq ft",1,2
2,Tathawade,65.35 L,715,Under Construction,Possession by Dec 2022,"9,139 / sq ft",,
2,Tathawade,69.24 L,748,Under Construction,Possession by Dec 2022,"9,257 / sq ft",,
2,Tathawade,69.13 L,747,Under Construction,Possession by Dec 2022,"9,267 / sq ft",,
2,Tathawade,65.51 L,717,Under Construction,Possession by Dec 2022,"9,136 / sq ft",,
3,Mundhwa,92.43 L,1172,Under Construction,Possession by Nov 2020,"7,887 / sq ft",,
2,Tathawade,68.74 L,742,Under Construction,Possession by Dec 2022,"9,264 / sq ft",,
3,Mundhwa,1 Cr,1268,Under Construction,Possession by Nov 2020,"7,888 / sq ft",,
2,Mundhwa,69.98 L,813,Under Construction,Possession by Nov 2020,"8,607 / sq ft",,
2,Balewadi,1.34 Cr,1046,Under Construction,Possession by Feb 2024,"12,903 / sq ft",,
2,Balewadi,91.05 L,887,Under Construction,Possession by Feb 2024,"10,265 / sq ft",,
2,Balewadi,88.98 L,867,Under Construction,Possession by Feb 2024,"10,263 / sq ft",,
3,Balewadi,1.34 Cr,1279,Under Construction,Possession by Feb 2024,"10,554 / sq ft",,
3,Balewadi,1.29 Cr,1261,Under Construction,Possession by Feb 2024,"10,308 / sq ft",,
2,Balewadi,94.96 L,925,Under Construction,Possession by Feb 2024,"10,266 / sq ft",,
3,Pashan,1.18 Cr,868,Under Construction,Possession by Nov 2020,"13,692 / sq ft",,
3,Pashan,1.14 Cr,839,Under Construction,Possession by Nov 2020,"13,690 / sq ft",,
3,Pashan,1.01 Cr,739,Under Construction,Possession by Nov 2020,"13,692 / sq ft",,
3,Pashan,1.49 Cr,1090,Under Construction,Possession by Nov 2020,"13,690 / sq ft",,
2,Pashan,82.04 L,700,Under Construction,Possession by Nov 2020,"11,720 / sq ft",,
2,Pashan,78.07 L,666,Under Construction,Possession by Nov 2020,"11,722 / sq ft",,
2,Pashan,77.95 L,665,Under Construction,Possession by Nov 2020,"11,723 / sq ft",,
4,Bavdhan,2.27 Cr,2146,Under Construction,Possession by Jun 2024,"10,587 / sq ft",,
3,Pashan,98.98 L,723,Under Construction,Possession by Nov 2020,"13,691 / sq ft",,
3,Bavdhan,1.37 Cr,1283,Under Construction,Possession by Jun 2024,"10,692 / sq ft",,
3,Pashan,1.19 Cr,876,Under Construction,Possession by Nov 2020,"13,688 / sq ft",,
3,Pashan,1.46 Cr,1068,Under Construction,Possession by Nov 2020,"13,689 / sq ft",,
2,Bavdhan,99.03 L,966,Under Construction,Possession by Jun 2024,"10,251 / sq ft",,
2,Pashan,80.16 L,684,Under Construction,Possession by Nov 2020,"11,720 / sq ft",,
2,Bavdhan,96.96 L,945,Under Construction,Possession by Jun 2024,"10,271 / sq ft",,
3,Pashan,1.15 Cr,846,Under Construction,Possession by Nov 2020,"13,691 / sq ft",,
2,Pashan,80.06 L,683,Under Construction,Possession by Nov 2020,"11,722 / sq ft",,
2,Ambegaon Budruk,63.96 L,642,Under Construction,Possession by Dec 2024,"9,962 / sq ft",,
2,Ambegaon Budruk,91.3 L,960,Under Construction,Possession by Dec 2024,"9,511 / sq ft",,
2,Ambegaon Budruk,70.36 L,712,Under Construction,Possession by Dec 2024,"9,883 / sq ft",,
3,Kharadi,70.61 L,951,Under Construction,Possession by Nov 2021,"7,425 / sq ft",,
2,Kharadi,59.62 L,803,Under Construction,Possession by Nov 2021,"7,425 / sq ft",,
3,Kharadi,68.38 L,921,Under Construction,Possession by Nov 2021,"7,425 / sq ft",,
2,Kharadi,53.83 L,725,Under Construction,Possession by Nov 2021,"7,425 / sq ft",,
2,Kharadi,56.2 L,757,Under Construction,Possession by Nov 2021,"7,425 / sq ft",,
3,Kharadi,70.98 L,956,Under Construction,Possession by Nov 2021,"7,425 / sq ft",,
2,Tathawade,59 L,890,Ready to move,,"6,629 / sq ft",,2
1,Lonikand,28 L,645,Ready to move,,"4,341 / sq ft",4,1
2,Wakad,58 L,920,Ready to move,,"6,304 / sq ft",,2
2,Wakad,58 L,840,Ready to move,,"6,904 / sq ft",,2
3,Ravet,97 L,1780,Under Construction,Possession by Sep 2023,"5,449 / sq ft",,3
3,Ravet,97 L,1780,Under Construction,Possession by Sep 2023,"5,449 / sq ft",,3
3,Ravet,65 L,1147,Under Construction,Possession by Sep 2023,"5,666 / sq ft",,3
3,Ravet,65 L,1148,Under Construction,Possession by Sep 2023,"5,662 / sq ft",,3
2,Balaji Nagar,80 L,976,Ready to move,,"8,196 / sq ft",,2
1,Chikhali,34 L,665,Ready to move,,"5,112 / sq ft",,2
3,Ravet,74 L,1328,Under Construction,Possession by Sep 2023,"5,572 / sq ft",,3
3,Ravet,74.5 L,1334,Under Construction,Possession by Sep 2023,"5,584 / sq ft",,3
1,Wakad,47 L,700,Under Construction,Possession by Jun 2021,"6,714 / sq ft",,1
3,Ravet,97 L,1780,Under Construction,Possession by Sep 2023,"5,449 / sq ft",,3
2,Ravet,65.03 L,900,Under Construction,Possession by Sep 2023,"7,225 / sq ft",,2
2,Ravet,50 L,897,Under Construction,Possession by Sep 2023,"5,574 / sq ft",,2
3,Ravet,65 L,1143,Under Construction,Possession by Sep 2023,"5,686 / sq ft",,3
3,Ravet,65 L,1148,Under Construction,Possession by Sep 2023,"5,662 / sq ft",,3
3,Ravet,74.5 L,1328,Under Construction,Possession by Sep 2023,"5,609 / sq ft",,3
3,Ravet,75 L,1334,Under Construction,Possession by Sep 2023,"5,622 / sq ft",,3
2,Hinjewadi,74.5 L,654,Under Construction,Possession by Apr 2024,"11,391 / sq ft",,
2,Hinjewadi,65.5 L,537,Under Construction,Possession by Apr 2024,"12,197 / sq ft",,
3,Hinjewadi,94.49 L,792,Under Construction,Possession by Apr 2024,"11,931 / sq ft",,
3,Bhukum,63.38 L,999,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,1.04 Cr,1647,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,40.03 L,631,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,39.97 L,630,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,46.12 L,727,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,44.47 L,701,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,40.22 L,634,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,44.35 L,699,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,45.81 L,722,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,94.15 L,1484,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,39.78 L,627,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,39.71 L,626,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,47.33 L,746,Ready to move,,"6,345 / sq ft",2,
3,Bhukum,63.89 L,1007,Ready to move,,"6,345 / sq ft",2,
3,Bhukum,1.3 Cr,2057,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,36.67 L,578,Ready to move,,"6,345 / sq ft",2,
2,Tathawade,56.46 L,699,Under Construction,Possession by Aug 2024,"8,090 / sq ft",,
1,Manjari,37.49 L,371,Under Construction,Possession by Jun 2024,"10,135 / sq ft",,
2,Manjari,46.99 L,560,Under Construction,Possession by Jun 2024,"8,392 / sq ft",,
2,Wakad,75 L,754,Under Construction,Possession by Nov 2022,"9,946 / sq ft",,
2,Wakad,65 L,654,Under Construction,Possession by Nov 2022,"9,938 / sq ft",,
3,Wakad,1.01 Cr,1044,Under Construction,Possession by Nov 2022,"9,674 / sq ft",,
3,Wakad,98 L,987,Under Construction,Possession by Nov 2022,"9,929 / sq ft",,
2,Wakad,68.5 L,684,Under Construction,Possession by Nov 2022,"10,014 / sq ft",,
2,Wakad,80 L,797,Under Construction,Possession by Nov 2022,"10,037 / sq ft",,
2,Mundhwa,74.66 L,673,Under Construction,Possession by Mar 2026,"11,094 / sq ft",,
2,Mundhwa,91.97 L,829,Under Construction,Possession by Mar 2026,"11,094 / sq ft",,
2,Mundhwa,74 L,667,Under Construction,Possession by Mar 2026,"11,094 / sq ft",,
2,Kharadi,84.97 L,745,Under Construction,Possession by Aug 2021,"11,405 / sq ft",,
2,Kharadi,77.5 L,671,Under Construction,Possession by Aug 2021,"11,567 / sq ft",,
2,Kharadi,83.18 L,727,Under Construction,Possession by Aug 2021,"11,457 / sq ft",,
2,Kharadi,82.96 L,725,Under Construction,Possession by Aug 2021,"11,443 / sq ft",,
2,Kharadi,85.04 L,747,Under Construction,Possession by Aug 2021,"11,400 / sq ft",,
2,Kharadi,81.45 L,710,Under Construction,Possession by Aug 2021,"11,488 / sq ft",,
2,Kharadi,81.52 L,711,Under Construction,Possession by Aug 2021,"11,483 / sq ft",,
2,Kharadi,77.64 L,672,Under Construction,Possession by Aug 2021,"11,554 / sq ft",,
2,Kharadi,81.67 L,712,Under Construction,Possession by Aug 2021,"11,486 / sq ft",,
2,Mahalunge,66 L,730,Under Construction,Possession by May 2022,"9,041 / sq ft",,
2,Kharadi,81.74 L,713,Under Construction,Possession by Aug 2021,"11,464 / sq ft",,
2,Mahalunge,69 L,800,Under Construction,Possession by May 2022,"8,625 / sq ft",,2
2,Mahalunge,67 L,765,Under Construction,Possession by May 2022,"8,758 / sq ft",,
2,Mahalunge,52 L,600,Under Construction,Possession by May 2022,"8,666 / sq ft",,
2,Mahalunge,63 L,690,Under Construction,Possession by May 2022,"9,130 / sq ft",,
2,Kharadi,1.05 Cr,994,Under Construction,Possession by Nov 2023,"10,648 / sq ft",,
2,Mahalunge,64 L,710,Under Construction,Possession by May 2022,"9,014 / sq ft",,
2,Kharadi,1.04 Cr,985,Under Construction,Possession by Nov 2023,"10,660 / sq ft",,
2,Mahalunge,73 L,815,Under Construction,Possession by May 2022,"8,957 / sq ft",,
3,Kharadi,1.49 Cr,1397,Under Construction,Possession by Nov 2023,"10,700 / sq ft",,
3,Kharadi,1.76 Cr,1667,Under Construction,Possession by Nov 2023,"10,573 / sq ft",,
2,Mahalunge,57 L,650,Under Construction,Possession by May 2022,"8,769 / sq ft",,
2,Kharadi,1.04 Cr,976,Under Construction,Possession by Nov 2023,"10,667 / sq ft",,
3,Kharadi,1.49 Cr,1395,Under Construction,Possession by Nov 2023,"10,704 / sq ft",,
3,Kharadi,1.69 Cr,1602,Under Construction,Possession by Nov 2023,"10,607 / sq ft",,
3,Kharadi,1.49 Cr,1393,Under Construction,Possession by Nov 2023,"10,701 / sq ft",,
3,Kharadi,1.53 Cr,1434,Under Construction,Possession by Nov 2023,"10,714 / sq ft",,
2,Kharadi,1.05 Cr,987,Under Construction,Possession by Nov 2023,"10,660 / sq ft",,
3,Kharadi,1.55 Cr,1451,Under Construction,Possession by Nov 2023,"10,703 / sq ft",,
2,Kesnand Wade Gaon Road,32 L,850,Ready to move,,"3,764 / sq ft",1,2
1,kesnand,21.5 L,610,Ready to move,,"3,524 / sq ft",121,1
2,Bakori Road,31 L,910,Ready to move,,"3,406 / sq ft",4,2
2,Lohegaon Road,37 L,950,Ready to move,,"3,894 / sq ft",3,2
2,Lohegaon Road,30 L,800,Ready to move,,"3,750 / sq ft",3,2
4,Kharadi,1.68 Cr,2540,Ready to move,,"6,614 / sq ft",3,4
2,Baif Road,30 L,850,Ready to move,,"3,529 / sq ft",4,2
2,kesnand,30 L,750,Ready to move,,"4,000 / sq ft",121,2
2,Bakori Road,30 L,890,Ready to move,,"3,370 / sq ft",4,2
2,Bakori Road,39 L,900,Ready to move,,"4,333 / sq ft",4,2
2,Pisoli,58 L,1500,Ready to move,,"3,866 / sq ft",,2
1,Kondhwa,42 L,625,Ready to move,,"6,720 / sq ft",1,1
1,Khandve Nagar,19 L,705,Ready to move,,"2,695 / sq ft",121,1
2,Wagholi,37 L,915,Ready to move,,"4,043 / sq ft",2,2
2,Uruli Kanchan,33 L,868,Ready to move,,"3,801 / sq ft",2,1
2,Wagholi,35 L,1002,Ready to move,,"3,493 / sq ft",2,2
2,Kharadi,91 L,1186,Ready to move,,"7,672 / sq ft",7,2
2,Kharadi,89 L,1180,Ready to move,,"7,542 / sq ft",6,2
2,Kharadi,88 L,1255,Ready to move,,"7,011 / sq ft",6,2
1,Kothrud,75 L,650,Ready to move,,"11,538 / sq ft",,1
3,Bavdhan,1.2 Cr,1110,Under Construction,Possession by Dec 2023,"10,810 / sq ft",,3
3,EON Free Zone,82 L,1308,Under Construction,Possession by Dec 1899,"6,269 / sq ft",,2
1,Wagholi,23.5 L,700,Ready to move,,"3,357 / sq ft",6,1
2,Wakad,59 L,900,Ready to move,,"6,555 / sq ft",0,2
2,Balewadi,70 L,1020,Ready to move,,"6,862 / sq ft",,2
2,Tathawade,45.81 L,865,Under Construction,Possession by Feb 2024,"5,296 / sq ft",,2
2,Tathawade,57 L,890,Ready to move,,"6,404 / sq ft",,2
2,Kharadi,47 L,840,Under Construction,Possession by May 2026,"5,595 / sq ft",,2
2,Wadgaon Sheri,95 L,1250,Ready to move,,"7,600 / sq ft",4,2
2,Wadgaon Sheri,53 L,850,Under Construction,Possession by Nov 2023,"6,235 / sq ft",,2
2,Wadgaon Sheri,74 L,1200,Under Construction,Possession by Jun 2023,"6,166 / sq ft",,2
2,Wadgaon Sheri,80 L,1100,Under Construction,Possession by May 2029,"7,272 / sq ft",,2
2,Wadgaon Sheri,1.3 Cr,1600,Under Construction,Possession by Sep 2022,"8,125 / sq ft",,2
3,Wadgaon Sheri,1.15 Cr,1500,Under Construction,Possession by May 2029,"7,666 / sq ft",,3
3,Wadgaon Sheri,1.5 Cr,1750,Ready to move,,"8,571 / sq ft",4,3
2,Wadgaon Sheri,1.5 Cr,1550,Under Construction,Possession by Nov 2022,"9,677 / sq ft",,2
3,Wadgaon Sheri,1.6 Cr,1650,Under Construction,,"9,696 / sq ft",,3
3,Wadgaon Sheri,2 Cr,1900,Under Construction,Possession by Nov 2022,"10,526 / sq ft",,3
3,Mundhwa,95 L,1300,Under Construction,Possession by Feb 2024,"7,307 / sq ft",,3
3,Mundhwa,1.3 Cr,1800,Under Construction,Possession by Feb 2024,"7,222 / sq ft",,3
2,Hinjewadi,64.08 L,654,Under Construction,Possession by May 2025,"9,799 / sq ft",,
2,Tathawade,70.86 L,782,Under Construction,Possession by Dec 2022,"9,073 / sq ft",,
3,Hinjewadi,72.02 L,722,Under Construction,Possession by May 2025,"9,975 / sq ft",,
2,Tathawade,66.55 L,730,Under Construction,Possession by Dec 2022,"9,130 / sq ft",,
2,Tathawade,61.84 L,673,Under Construction,Possession by Dec 2022,"9,189 / sq ft",,
2,Hinjewadi,63.42 L,647,Under Construction,Possession by May 2025,"9,802 / sq ft",,
3,Hinjewadi,83.99 L,842,Under Construction,Possession by May 2025,"9,976 / sq ft",,
2,Tathawade,68.75 L,742,Under Construction,Possession by Dec 2022,"9,265 / sq ft",,
2,Tathawade,61.87 L,674,Under Construction,Possession by Dec 2022,"9,193 / sq ft",,
3,Hinjewadi,85.99 L,913,Under Construction,Possession by May 2025,"9,418 / sq ft",,
1,Kothrud,60 L,600,Ready to move,,"10,000 / sq ft",,1
3,Moshi,65 L,1400,Under Construction,Possession by May 2024,"4,642 / sq ft",,3
2,Rahatani,66 L,980,Ready to move,,"6,734 / sq ft",,2
3,Kharadi,98 L,1397,Under Construction,Possession by May 2024,"7,015 / sq ft",,3
2,Moshi,39 L,980,Under Construction,Possession by Sep 2022,"3,979 / sq ft",,2
2,Koregaon Park,1.4 Cr,1075,Ready to move,,"13,023 / sq ft",5,2
2,Koregaon Park,1.5 Cr,1500,Ready to move,,"10,000 / sq ft",5,2
2,Koregaon Park,1.5 Cr,1200,Ready to move,,"12,500 / sq ft",5,2
2,Koregaon Park,1.5 Cr,1560,Ready to move,,"9,615 / sq ft",7,2
2,Koregaon Park,1.53 Cr,1200,Ready to move,,"12,750 / sq ft",5,2
2,Baner,81.5 L,988,Under Construction,Possession by May 2025,"8,248 / sq ft",,2
2,NIBM Annex Mohammadwadi,70 L,1150,Under Construction,,"6,086 / sq ft",,2
2,Pimple Nilakh,70.31 L,946,Ready to move,,"7,432 / sq ft",5,2
1,Wakad,46.5 L,675,Ready to move,,"6,888 / sq ft",5,1
2,Pimple Nilakh,70 L,951,Ready to move,,"7,360 / sq ft",5,2
2,Wakad,62 L,968,Ready to move,,"6,404 / sq ft",5,2
1,Wakad,61.5 L,1039,Under Construction,Possession by Jan 2023,"5,919 / sq ft",,2
3,Baner,1.15 Cr,1525,Under Construction,Possession by Jun 2023,"7,540 / sq ft",,3
2,NIBM Annex Mohammadwadi,69 L,1150,Under Construction,,"6,000 / sq ft",,2
2,Hinjewadi,55.5 L,850,Under Construction,Possession by May 2024,"6,529 / sq ft",,
2,Bavdhan,64.31 L,1191,Ready to move,,"5,400 / sq ft",4,2
2,Wakad,62.5 L,661,Under Construction,,"9,455 / sq ft",,2
2,Bhukum,39.97 L,630,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,46.12 L,727,Ready to move,,"6,345 / sq ft",2,
2,Hinjewadi,61.5 L,1027,Ready to move,,"5,988 / sq ft",,2
2,Sus,63.79 L,813,Under Construction,Possession by Nov 2022,"7,846 / sq ft",,
3,Bavdhan,1.32 Cr,2454,Ready to move,,"5,400 / sq ft",4,
2,Bhukum,44.47 L,701,Ready to move,,"6,345 / sq ft",2,
2,Bhukum,40.22 L,634,Ready to move,,"6,345 / sq ft",2,
2,Balewadi,73.42 L,633,Under Construction,Possession by Jun 2021,"11,599 / sq ft",,
3,Bavdhan,1.04 Cr,1930,Ready to move,,"5,400 / sq ft",4,
2,Pashan,81.99 L,634,Under Construction,Possession by Dec 2022,"12,933 / sq ft",,
3,Balewadi,88.79 L,776,Under Construction,Possession by Jun 2021,"11,442 / sq ft",,
2,Mahalunge,59.99 L,526,Under Construction,Possession by Mar 2020,"11,406 / sq ft",,
2,Bhukum,45.81 L,722,Ready to move,,"6,345 / sq ft",2,
3,Balewadi,89.04 L,778,Under Construction,Possession by Jun 2021,"11,445 / sq ft",,
3,Tathawade,1.17 Cr,1332,Ready to move,,"8,853 / sq ft",3,
2,Bavdhan,71.76 L,1329,Ready to move,,"5,400 / sq ft",4,2
2,NIBM Annex Mohammadwadi,68 L,1150,Under Construction,,"5,913 / sq ft",,2
2,Mahalunge,66.99 L,588,Under Construction,Possession by Mar 2020,"11,394 / sq ft",,
2,Pashan,83.29 L,644,Under Construction,Possession by Dec 2022,"12,933 / sq ft",,
1,Hadapsar,27 L,580,Ready to move,,"4,655 / sq ft",9,1
2,Pashan,82.64 L,639,Under Construction,Possession by Dec 2022,"12,933 / sq ft",,
2,Baner,93.12 L,696,Under Construction,Possession by Dec 2022,"13,379 / sq ft",,
3,Tathawade,1.08 Cr,1167,Ready to move,,"9,322 / sq ft",3,
2,Balewadi,72.22 L,623,Under Construction,Possession by Jun 2021,"11,592 / sq ft",,
2,Bhukum,39.71 L,626,Ready to move,,"6,345 / sq ft",2,
2,Baner,90.32 L,675,Under Construction,Possession by Dec 2022,"13,382 / sq ft",,
4,Sus,1.73 Cr,2284,Under Construction,Possession by Nov 2022,"7,588 / sq ft",,
4,Tathawade,1.85 Cr,1942,Ready to move,,"9,577 / sq ft",3,
3,Kharadi,1.25 Cr,1820,Ready to move,,"6,868 / sq ft",6,3
3,Kharadi,1.24 Cr,1800,Ready to move,,"6,888 / sq ft",6,3
3,Kharadi,1.23 Cr,1800,Ready to move,,"6,833 / sq ft",6,3
3,Kharadi,1.2 Cr,1650,Ready to move,,"7,272 / sq ft",2,2
3,Kharadi,1.2 Cr,1907,Ready to move,,"6,292 / sq ft",5,3
2,Kharadi,82.44 L,650,Under Construction,Possession by Dec 2023,"12,704 / sq ft",,
2,Kharadi,82.44 L,650,Under Construction,Possession by Dec 2023,"12,704 / sq ft",,
2,Kharadi,82.44 L,650,Under Construction,Possession by Dec 2023,"12,704 / sq ft",,
2,Kharadi,82.44 L,650,Under Construction,Possession by Dec 2023,"12,704 / sq ft",,
4,Baner,2.94 Cr,2370,Under Construction,,"12,405 / sq ft",,4
2,Wakad,57 L,1039,Under Construction,Possession by Jan 2024,"5,486 / sq ft",,2
2,Wakad,65 L,866,Under Construction,,"7,505 / sq ft",,2
2,Hadapsar,94 L,1174,Under Construction,Possession by Jul 2022,"8,006 / sq ft",,2
3,Mahalunge,71.9 L,1100,Under Construction,Possession by Mar 2024,"6,536 / sq ft",,2
2,Tathawade,55 L,880,Under Construction,Possession by Sep 2024,"6,250 / sq ft",,2
3,Manjari,78 L,1215,Under Construction,Possession by Jul 2024,"6,419 / sq ft",,2
1,Tathawade,36 L,590,Under Construction,Possession by Aug 2023,"6,101 / sq ft",,1
3,Balewadi,1.15 Cr,1250,Ready to move,,"9,200 / sq ft",5,3
3,Ravet,72 L,1269,Under Construction,Possession by Oct 2023,"5,673 / sq ft",,3
1,Manjari,38 L,575,Under Construction,Possession by Jul 2024,"6,608 / sq ft",,1
2,Mundhwa,68 L,913,Under Construction,Possession by Aug 2023,"7,447 / sq ft",,2
3,Baner,1.05 Cr,1625,Ready to move,,"6,461 / sq ft",,3
1,Shivaji Nagar,32 L,380,Ready to move,,"8,421 / sq ft",,
